DrugID	TargetID
Sorafenib	673
Sorafenib	2324
Sorafenib	3791
Sorafenib	2322
Acid yellow 54 free acid	471
Acifluorfen	936311
Acitretin	5947
Acitretin	5914
Acitretin	5915
Acitretin	5916
Acitretin	6256
Acitretin	6257
Acitretin	6774
Acitretin	6258
Aclarubicin	7155
Aclarubicin	7153
Aclerastide	4142
Aclidinium	1128
Aclidinium	1133
Aclidinium	1131
Aclidinium	1132
Aclidinium	1129
Aclimostat	10988
Acolbifene	2099
Acoltremon	79054
Aconitate Ion	50
Aconitate Ion	944864
Acoramidis	7276
Acrivastine	3269
Actelion-1	1909
Acteoside	5578
Acyclovir	2703462
Acylated ceftazidime	948669
Acyline	2798
Adagrasib	3845
Adalimumab	7124
Adapalene	5916
Adapalene	5914
Adapalene	6257
Adapalene	3725
Adapalene	5915
Adapalene	7097
Adapalene	6256
Adapalene	2805
Adapalene	6258
Adavosertib	7465
Adefovir	2703462
Ademetionine	4143
Ademetionine	4144
Ademetionine	1312
Ademetionine	262
Ademetionine	23070
Ademetionine	57412
Ademetionine	875
Ademetionine	27232
Adenine	947447
Adenine	3168960
Adenine	948542
Adenine	32
Adenine	353
Adenine	4507
Adenine	1253537
Adenine	6733
Adenine	52
Adenine	55825
Adenosine	136
Adenosine	135
Adenosine	140
Adenosine	134
Adenosine 3',5'-diphosphate	6820
Adenosine 3',5'-diphosphate	9957
Adenosine 3',5'-diphosphate	27284
Adenosine 3',5'-diphosphate	945862
Adenosine 3',5'-diphosphate	6035
Adenosine 3',5'-diphosphate	6817
Adenosine 3',5'-diphosphate	6783
Adenosine 3',5'-diphosphate	6822
Adenosine 3',5'-diphosphate	9955
Adenosine 3',5'-diphosphate	3340
Adenosine 3',5'-diphosphate	6036
Adenosine 5'-[gamma-thio]triphosphate	69518589
Adenosine 5'-[gamma-thio]triphosphate	75271015
Adenosine 5'-[gamma-thio]triphosphate	5395
Adenosine 5'-[gamma-thio]triphosphate	683
Adenosine 5'-[gamma-thio]triphosphate	946368
Adenosine 5'-[gamma-thio]triphosphate	887072
Adenosine 5'-[gamma-thio]triphosphate	945105
Adenosine 5'-[gamma-thio]triphosphate	5207
Adenosine 5'-[gamma-thio]triphosphate	948318
Adenosine 5'-[gamma-thio]triphosphate	10295
Adenosine 5'-[gamma-thio]triphosphate	93457506
Adenosine 5'-[gamma-thio]triphosphate	6853
Adenosine 5'-methylenediphosphate	4907
Adenosine 5'-methylenediphosphate	936985
Adenosine 5'-methylenediphosphate	947331
Adenosine 5'-phosphosulfate	9061
Adenosine 5'-phosphosulfate	3168276
Adenosine Phosphonoacetic Acid	4830
Adenosine disphosphate	5031
Adenosine disphosphate	54795
Adenosine disphosphate	64805
Adenosine monotungstate	2272
Adenosine phosphate	2180
Adenosine phosphate	5565
Adenosine phosphate	5836
Adenosine phosphate	2203
Adenosine phosphate	1385
Adenosine phosphate	5142
Adenosine phosphate	5144
Adenosine phosphate	5562
Adenosine phosphate	55902
Adenosine phosphate	51422
Adenosine phosphate	53632
Adenosine phosphate	5563
Adenosine phosphate	132
Adenosine phosphate	107
Adenosine phosphate	5571
Adenosine phosphate	3094
Adenosine phosphate	5564
Adenosine-2'-5'-Diphosphate	6035
Adenosine-2'-5'-Diphosphate	6037
Adenosine-2'-5'-Diphosphate	6036
Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester	948134
Adenosine-5'-Propylphosphate	1255801
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	947937
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	8566
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	887072
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	547
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	487
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	5230
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	1255593
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	3643
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	948260
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	946368
Adenosine-5'-diphosphate-2',3'-vanadate	9061
Adenosine-5'-ditungstate	3094
Adenosine-5-Diphosphoribose	947906
Adenosine-5-Diphosphoribose	93778959
Adenosine-5-Diphosphoribose	23408
Adenosine-5-Diphosphoribose	3169402
Adenosine-5-Diphosphoribose	23410
Adenosine-5-Diphosphoribose	1938
Adenosine-5-Diphosphoribose	947273
Adenosine-5-Diphosphoribose	1253612
Adenosine-5-Diphosphoribose	2597
Adenylate-3'-phosphate-[[2'-deoxy-uridine-5'-phosphate]-3'-phosphate]	6035
Adenylosuccinic acid	122622
Adinazolam	55879
Adinazolam	2567
Adinazolam	2558
Adinazolam	2561
Adinazolam	2555
Adinazolam	706
Adinazolam	2556
Adinazolam	2559
Adinazolam	2562
Adinazolam	2557
Adinazolam	2564
Adinazolam	2560
Adinazolam	2566
Adinazolam	2568
Adinazolam	2554
Adinazolam	2563
Adinazolam	2565
Adipiplon	2556
Adipiplon	2565
Adipiplon	2566
Adipiplon	2567
Adipiplon	2554
Adipiplon	2555
Adipiplon	2558
Ado-P-Ch2-P-Ps-Ado	2272
Adomeglivant	2642
Adriforant	59340
Aducanumab	351
Aeruginosin 98-B	5644
Aetiocholanolone	51170
Aetiocholanolone	888857
Aetiocholanolone	6822
Afamelanotide	4160
Afamelanotide	4157
Afatinib	1956
Afatinib	2064
Afatinib	2066
Afegostat	2629
Afegostat	887007
Afelimomab	7124
Affitope AD01	351
Aficamten	4607
Afimetoran	51311
Afimetoran	51284
Afimoxifene	2100
Afimoxifene	2104
Afimoxifene	2101
Afimoxifene	2099
Afimoxifene	8856
Afimoxifene	6462
Afimoxifene	7031
Aflibercept	5228
Aflibercept	7422
Aflibercept	7423
Afuresertib	207
Agerafenib	673
Agerafenib	5979
Agkistrodon piscivorus antivenin	8399
Agmatine	1134
Agmatine	152
Agmatine	774
Agmatine	3758
Agmatine	11188
Agmatine	9311
Agmatine	2902
Agomelatine	3358
Agomelatine	4544
Agomelatine	4543
Ajmaline	6331
Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]	760
Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]	760
Alanine	189
Alanine	84706
Alanine	2875
Alanine	85007
Alanine	16
Alanine	6509
Alanine	57505
Alanine	18
Alanine	206358
Alanine	23428
Alanine	9054
Alanine	8942
Alanine	64902
Alanosine	948767
Alanosine	159
Alanosine	122622
Albendazole	10383
Albendazole	7846
Albiglutide	2740
Albuterol	155
Albuterol	154
Albuterol	153
Albutrepenonacog alfa	2159
Alcaftadine	3269
Alclofenac	5743
Alclometasone	2908
Alclometasone	866
Alcuronium	89832
Aldesleukin	3561
Aldesleukin	3559
Aldesleukin	3560
Aldosterone	4306
Aldosterone	2908
Aldosterone	6557
Aldoxorubicin	7155
Aldoxorubicin	7153
Alectinib	238
Alefacept	2214
Alefacept	914
Alefacept	2215
Aleglitazar	8648
Aleglitazar	5468
Aleglitazar	5465
Alemtuzumab	2212
Alemtuzumab	2215
Alemtuzumab	2214
Alemtuzumab	2209
Alemtuzumab	1043
Alemtuzumab	2213
Alemtuzumab	9103
Alendronic acid	5791
Alendronic acid	2224
Alendronic acid	5775
Alendronic acid	523
Alendronic acid	5802
Aleplasinin	5055
Aleplasinin	5054
Aleplasinin	5104
Alfacalcidol	1594
Alfacalcidol	7421
Alfacalcidol	6256
Alfentanil	4988
Alfimeprase	2244
Alfimeprase	2243
Alfuzosin	146
Alfuzosin	148
Alfuzosin	147
Alglucosidase alfa	4074
Alicaforsen	3383
Alimemazine	3269
Alirocumab	255738
Alisertib	6790
Aliskiren	5972
Alisporivir	819
Alitretinoin	5914
Alitretinoin	5916
Alitretinoin	5915
Alitretinoin	6256
Alitretinoin	3486
Alitretinoin	6258
Alitretinoin	340665
Alitretinoin	5673
Alitretinoin	6257
Alizapride	1813
Allantoate	945150
